list_id,airport_id,icao_code,iata_code,lat,lon,name,address
2,3,LILA,QAL,44.907,8.612,Airport of Alessandria,"Viale Brigata Ravenna, 5, 15121 Alessandria AL, Italia"
2,4,LIAQ,NULL,41.485,13.719,Airport of Aquino,"Aquino, 03031 Aquino FR, Italia"
2,5,LIQB,QZO,43.47,11.85,Airport of Arezzo,"Via Fratelli Lebole, 52100 Arezzo AR, Italia"
2,6,LIBW,NULL,39.585,15.898,Airport of Bonifati,"Chiesa di San Maria Maddalena, Piazza Domenico Ferrante, 1, 87020 Bonifati CS, Italia"
2,7,LIBS,QPB,41.57,14.65,Airport of Campobasso,"Strada Provinciale Macchie, 86100 Campobasso CB, Italia"
2,8,LIEB,NULL,39.93,9.72,Airport of Capo Bella Vista,"Via Procida, 2, 08048 Arbatax OG, Italia"
2,9,LIEH,NULL,40.57,8.17,Airport of Capo Caccia,"Strada Provinciale 55, Parco Regionale di Porto Conte, 07041 Alghero SS, Italia"
2,10,LIEC,NULL,39.1,9.52,Airport of Capo Carbonara,"Via Capo Carbonara, 1, 09049 Villasimius CA, Italia"
2,11,LIEF,NULL,39.75,8.47,Airport of Capo Frasca,"Via mare Ionio, 18, 09031 Sant'antonio di Santadi VS, Italia"
2,12,LIMU,NULL,43.95,8.17,Airport of Capo Mele,"Via Trinacria, 19, 17051 Marina di Andora SV, Italia"
2,13,LIQK,NULL,40.02,15.28,Airport of Capo Palinuro,"Via Faro, Parco Nazionale del Cilento, Vallo di Diano e Alburni, 84051 Centola SA, Italia"
2,14,LIAU,NULL,41.106,14.213,Airport of Capua,"Via Ferdinando Palasciano, 6, 81043 Capua CE, Italia"
2,15,LILM,NULL,45.115,8.452,Airport of Casale Moferrato,"SS31, 15033 Casale Monferrato AL, Italia"
2,16,LICO,NULL,36.68,15.13,Airport of Cozzo Spadaro,"Via Maucini, 54, 96010 Portopalo di Capo Passero SR, Italia"
2,17,LIVD,NULL,46.73,12.22,Airport of Dobbiaco,"Strada Statale 49, 39034 Dobbiaco BZ, Italia"
2,18,LICE,NULL,37.57,14.28,Airport of Enna,"Strada Provinciale 28, 94100 Enna EN, Italia"
2,19,LIDF,NULL,43.825,13.027,Airport of Fano,"Via Leon Battista Alberti, 54-56, 61032 Fano PU, Italia"
2,20,LIAF,NULL,42.941,12.714,Airport of Foligno,"Aeroporto di Foligno, Via Cagliari, 22, 06034 Foligno PG, Italia"
2,21,LIVF,NULL,43.52,12.73,Airport of Frontone,"Strada Provinciale 53, 61040 Frontone PU, Italia"
2,22,LICL,NULL,37.08,14.22,Airport of Gela,"Via Attica, 93012 Gela CL, Italia"
2,23,LIPG,QGO,45.905,13.599,Airport of Gorizia,"Gorizia, 34070 Savogna D'Isonzo GO, Italia"
2,24,LIDL,NULL,45.598,8.914,Airport of Legnano,"Via della Vittoria, 41, 20025 Legnano MI, Italia"
2,25,LIDG,NULL,44.481,11.896,Airport of Lugo Di Romagna,"Via Fiumazzo, 259, 48022 San Lorenzo RA, Italia"
2,26,LIBH,NULL,40.43,16.88,Airport of Marina Di Ginosa,"Via Campobasso, 74025 Marina di Ginosa TA, Italia"
2,27,LIVM,NULL,44.45,12.3,Airport of Marina Di Ravenna,"Lungomare Colombo, Riserva Statale Pineta di Ravenna, 48122 Ravenna RA, Italia"
2,28,LILQ,NULL,43.987,10.144,Airport of Massa Cinquale,"Via San Ginese, 2, 54100 Massa MS, Italia"
2,29,LIQO,NULL,42.38,11.17,Airport of Monte Argentario,"Via dei Molini, 58019 Torre Dell'acqua GR, Italia"
2,30,LIRX,NULL,42.73,10.4,Airport of Monte Calamita,"Via Alcide De Gasperi, 1, 57031 Capoliveri LI, Italia"
2,31,LIVC,NULL,44.2,10.7,Airport of Monte Cimone,"Via Magrignana, 41025 Montecreto MO, Italia"
2,32,LIMY,NULL,44.25,7.8,Airport of Monte Malanotte,"Strada Provinciale 237, 12083 Prato Nevoso CN, Italia"
2,33,LIBE,NULL,41.725,15.946,Airport of Monte S. Angelo,"Strada Provinciale 52b, 71037 Monte Sant'Angelo FG, Italia"
2,34,LIBQ,NULL,39.33,16.4,Airport of Monte Scuro,"Strada Provinciale 256, San Pietro in Guarano CS, Italia"
2,35,LIRK,NULL,42.47,12.98,Airport of Monte Terminillo,"Via dei Licheni, 02100 Pian De' Valli RI, Italia"
2,36,LIVP,NULL,46.15,11.03,Airport of Paganella,"Via Monego, 6, 38010 Andalo TN, Italia"
2,37,LIMV,NULL,44.63,8.93,Airport of Passo Dei Giovi,"Via Roma, 197, 16019 Ronco Scrivia GE, Italia"
2,38,LIMT,NULL,44.43,9.93,Airport of Passo Della Cisa,"Strada Provinciale 42, 54027 Pontremoli MS, Italia"
2,39,LIVE,NULL,46.83,10.5,Airport of Passo Resia,"Strada Statale 40, 39027 Curon Venosta BZ, Italia"
2,40,LIVR,NULL,46.3,11.78,Airport of Passo Rolle,"Strada Statale 50, 38054 Siror TN, Italia"
2,41,LIDP,NULL,44.32,10.831,Airport of Pavullo,"Via Giardini Sud, 168, Zona Industriale Querciagrossa, 41026 Zona Industriale Querciagrossa MO, Italia"
2,42,LIMH,NULL,45.708,11.755,Airport of Pian Rosa',"Via Gioacchino Rossini, 1, 36027 Rosà VI, Italia"
2,43,LIQZ,NULL,40.92,12.95,Airport of Ponza,"Via Cala D'Inferno, 12, Ponza LT, Italia"
2,44,LIDV,NULL,44.79,11.669,Airport of Prati Vecchi D'Aguscello,"Raccordo Autostradale Ferrara - Porto Garibaldi, 44124 Ferrara FE, Italia"
2,45,LIQN,QRT,42.42,12.85,Airport of Rieti,"Via Carapacchi, 57, 02100 Rieti RI, Italia"
2,46,LIBY,NULL,39.82,18.35,Airport of Santa Maria Di Leuca,"Strada Statale 274, 73040 Castrignano del capo LE, Italia"
2,47,LIVO,NULL,46.5,13.58,Airport of Tarvisio,"Via Priesnig, 72, 33018 Tarvisio UD, Italia"
2,48,LIBT,NULL,42.001,14.995,Airport of Termoli,"Piazza Vittorio Veneto, 39F, 86039 Termoli CB, Italia"
2,49,LIDH,NULL,45.678,11.496,Airport of Thiene,"Via Prà Novelli, 13, 36016 Thiene VI, Italia"
2,50,LIRT,NULL,41.05,15.23,Airport of Trevico,"Strada Provinciale 79, 83058 Trevico AV, Italia"
2,51,LICU,NULL,38.7,13.18,Airport of Ustica,"Contrada Oliastrello, 90010 Ustica PA, Italia"
2,52,LILV,NULL,45.714,9.608,Airport of Valbrembo,"Via alla Chiesa, 2, 24030 Scano Al Brembo BG, Italia"
2,53,LILI,NULL,45.32,8.419,Airport of Vercelli,"Piazza Battisti Cesare, 6, 13100 Vercelli VC, Italia"
2,54,LILG,NULL,45.722,8.694,Airport of Vergiate,"Via Cavallotti, 7, 21029 Vergiate VA, Italia"
2,55,LIMG,ALL,44.051,8.127,Albenga,"Strada Statale 453, Villanova D'albenga SV, Italia"
2,56,LIBA,NULL,41.539,15.713,Amendola Air Base,"Strada Provinciale 74, 71013 San Giovanni Rotondo FG, Italia"
2,57,LIRQ,FLR,43.81,11.205,Amerigo Vespucci,"Via Madonna del Piano, 50019 Sesto Fiorentino FI, Italia"
2,58,LIDA,NULL,45.887,11.517,ASIAGO,"Via Rigoni di Sotto, 53, 36012 Rodeghieri-rigoni-podestà-costa VI, Italia"
2,59,LIPA,AVB,46.032,12.596,Aviano Airport,"SP7, Aviano PN, Italia"
2,60,LIDB,BLX,46.333,12.342,Belluno,"Belluno (BLX), 32010 Perarolo di Cadore BL, Italia"
2,61,LILE,NULL,45.495,8.103,BIELLA CERRIONE,"Via Vergnasco, 13871 Verrone BI, Italia"
2,62,LICT,TPS,37.913,12.488,Birgi,"Strada Provinciale 21, 91100 Trapani TP, Italia"
2,63,LIPB,BZO,46.461,11.326,Bolzano,"Via Aeroporto Francesco Baracca, 39055 San Giacomo BZ, Italia"
2,64,LIMB,NULL,45.54,9.202,Bresso,"Viale Achille Grandi, 5, 20091 Bresso MI, Italia"
2,65,LIMK,NULL,45.03,7.73,Bric Della Croce,"Strada del Colle, 34, 10020 Pecetto torinese TO, Italia"
2,66,LIDU,NULL,44.819,10.864,Budrione,"Via Cappellano, 4, 41012 Carpi MO, Italia"
2,67,LIPM,ZMO,44.5,10.9,Bus Station,"Via Spagna, 40, 41014 Castelvetro di Modena MO, Italia"
2,68,LIMN,NULL,45.529,8.669,Cameri Air Base,"Via San Paolo della Croce, 28062 Cameri NO, Italia"
2,69,LIRN,NAP,40.886,14.291,Capodichino,"Via Nuova del Campo, 80144 Napoli, Italia"
2,70,LIQC,PRJ,40.583,14.233,Capri,"Via Palazzo a Mare, 2, 80073 Capri NA, Italia"
2,71,LIPC,NULL,44.224,12.306,CERVIA,"Via Confine, 85, 48015 Cervia RA, Italia"
2,72,LIRA,CIA,41.799,12.595,Ciampino,"Via della Repubblica, 25, 00043 Ciampino RM, Italia"
2,73,LIEO,OLB,40.899,9.518,Costa Smeralda,"Via Dei Navigatori, 07026 Olbia OT, Italia"
2,74,LIMJ,GOA,44.412,8.842,Cristoforo Colombo/Sestri),"Via Pionieri Ed Aviatori D'Italia, Aeroporto Cristoforo Colombo (GOA), 16154 Genova, Italia"
2,75,LIBC,CRV,38.997,17.08,Crotone,"SS106, 88841 Isola di capo Rizzuto KR, Italia"
2,76,LIEE,CAG,39.251,9.054,Elmas,"Via dei Trasvolatori, Aeroporto di Cagliari (CAG), 09030 Elmas CA, Italia"
2,77,LIPY,AOI,43.616,13.362,Falconara,"Via Fossatello, 9A, 60015 Falconara Marittima AN, Italia"
2,78,LIER,QOS,39.895,8.638,Fenosu,"Strada Provinciale 57, 09170 Oristano OR, Italia"
2,79,LIEA,AHO,40.632,8.291,Fertilia,"Strada Provinciale 44, 07041 Alghero SS, Italia"
2,80,LICC,CTA,37.467,15.066,Fontanarossa,"Via San Giuseppe la Rena, 95121 Catania CT, Italia"
2,81,LIRH,QFR,41.63,13.3,Frosinone Air Base,"E45, 03100 Frosinone FR, Italia"
2,82,LIRP,PSA,43.684,10.393,G. Galilei (San Giusto) Civil/Mil,"SS1, 56121 Pisa PI, Italia"
2,83,LIPL,NULL,45.432,10.268,Ghedi Air Base,"Via Borgosatollo, 5, 25016 Ghedi BS, Italia"
2,84,LIBV,NULL,40.768,16.933,Gioia Del Colle Air Base,"Via Federico II di Svevia, 70023 Gioia del Colle BA, Italia"
2,85,LIMP,PMF,44.824,10.296,Giuseppe Verdi,"Strada Comunale Cornocchio, 43126 Parma PR, Italia"
2,86,LIRM,NULL,41.061,14.082,Grazzanise - Carlo Romagnoli,"SP147, 81046 Casal di principe CE, Italia"
2,87,LIRS,GRS,42.761,11.072,Grosset Military Base,"Strada Provinciale del Pollino, 58100 Grosseto GR, Italia"
2,88,LIPE,BLQ,44.534,11.29,Guglielmo Marconi (Borgo Panigale),"Via del Triumvirato, 84, Aeroport di Bologna, 40132 Bologna BO, Italia"
2,89,LIRG,NULL,41.99,12.741,Guidonia Air Base,"Strada Provinciale 636, 00012 Guidonia Montecelio RM, Italia"
2,90,LILY,QCM,45.808,9.085,Idroscalo,"Via Giovio, 10-24, 22100 Como CO, Italia"
2,91,LIPS,NULL,45.684,12.086,Istrana,"Via Nazario Sauro, 31036 Istrana TV, Italia"
2,92,LIAP,QAQ,42.38,13.309,L AQUILA PRETURO,"Via Carlo d'Angiò, 67100 L'Aquila AQ, Italia"
2,93,LICD,LMP,35.498,12.618,Lampedusa,"Via Cala Francese, 92010 Lampedusa AG, Italia"
2,94,LIRL,QLT,41.542,12.909,Latina Air Base,"Via dell'Aeroporto, Aeroporto militare Enrico Comani, 04100 Latina LT, Italia"
2,95,LIBN,NULL,40.239,18.133,Lecce Military Air Base,"Strada Statale 101, Galatina LE, Italia"
2,96,LIRF,FCO,41.813,12.253,Leonardo da Vinci International (Fiumicino),"Viale di Porto, Riserva Naturale Statale Litorale Romano, 00054 Fiumicino RM, Italia"
2,97,LINL,LCC,40.25,18.133,Lepore Airport,"Strada Provinciale 125, 73010 Copertino LE, Italia"
2,98,LIMZ,CUF,44.546,7.622,Levaldigi,"Strada Statale Sud, 1, Aeroporto di Cuneo-Levaldigi (CUF), 12038 Savigliano CN, Italia"
2,99,LIBP,PSR,42.431,14.181,Liberi,"Asse Attrezzato Industriale, Pescara PE, Italia"
2,100,LIML,LIN,45.445,9.277,Linate,"Via Archimede, 35, 20068 Linate MI, Italia"
2,101,LIPK,FRL,44.195,12.07,Luigi Ridolfi,"Via Fontanelle, 83, 47121 Forlì FC, Italia"
2,102,LIQW,NULL,44.08,9.98,Luni,"Viale XXV Aprile, 19038 Sarzana SP, Italia"
2,103,LIBG,TAR,40.516,17.402,M. A. Grottag,"Strada Provinciale 83, 74023 Grottaglie TA, Italia"
2,104,LIMC,MXP,45.631,8.728,Malpensa,"Via Cascina Costa, 22, 21017 Cascina Costa VA, Italia"
2,105,LIPZ,VCE,45.505,12.352,Marco Polo (Tessera),"Viale A. Ca' Da Mosto, Aeroporto Di Venezia Marco Polo (VCE), 30173 Venezia, Italia"
2,106,LIDT,ZIA,46.021,11.124,Mattarello,"E45, 38123 Trento TN, Italia"
2,107,LILR,NULL,45.168,10.004,Migliaro,"Strada Statale 498, 290-358, 26100 Cremona CR, Italia"
2,108,LIPR,RMI,44.02,12.612,Miramare / Federico Fellini / Giannetto Vassura,"Via Casalecchio, 26-44, 47924 Rimini RN, Italia"
2,109,LIPO,VBS,45.429,10.331,Montichiari Air Base,"Via Campagna di Brescia, 25018 Montichiari BS, Italia"
2,110,LIME,BGY,45.674,9.704,Orio al Serio,"Strada Statale 671, Seriate BG, Italia"
2,111,LIBD,BRI,41.138,16.761,Palese Macchie,"Strada Provinciale 210, 70128 Bari BA, Italia"
2,112,LICG,PNL,36.816,11.969,Pantelleria,"Via Circonvallazione Aeroporto, 91017 Pantelleria TP, Italia"
2,113,LIBR,BDS,40.658,17.947,Papola Casale/COM Centre,"Contrada Baroncino, Aeroporto del Salento (BDS), 72100 Brindisi BR, Italia"
2,114,LIRI,QSR,40.62,14.911,Pontecagnano,"Strada Provinciale 173, 84098 Corvinia SA, Italia"
2,115,LIRE,QEZ,41.654,12.444,Pratica di Mare Mil Base,"Via Lago di Como, 66, 00040 Torvaianica RM, Italia"
2,116,LICJ,PMO,38.176,13.091,Punta Raisi,"Via Piersanti Mattarella, 90045 Cinisi PA, Italia"
2,117,LIED,DCI,39.354,8.972,RAFSU Decimomannu,"Via Giardini, 96, 09026 San sperate CA, Italia"
2,118,LIDR,NULL,44.364,12.225,RAVENNA,"Strada Statale 71, 48124 Ravenna RA, Italia"
2,119,LIDE,NULL,44.698,10.663,REGGIO EMILIA,"Via Caduti delle Reggiane, 2, 42122 Reggio Emilia RE, Italia"
2,120,LIPI,NULL,45.981,13.054,Rivolto Air Base,"SS13, Codroipo UD, Italia"
2,121,LIRU,NULL,41.952,12.499,Rome Metropolitan Area / Roma Urbe,"Via del Baiardo, 00191 Roma, Italia"
2,122,LIPQ,TRS,45.828,13.466,Ronchi Dei Legionari,"Via Isonzo, 71, 34075 Begliano GO, Italia"
2,123,LIPH,TSF,45.649,12.195,S. Angelo,"Via delle Muneghe, 5, 31100 Treviso TV, Italia"
2,124,LIMS,QPZ,44.913,9.723,S. Damiano Air Base,"Strada Provinciale 36, 29019 San Giorgio piacentino PC, Italia"
2,125,LIMF,TRN,45.201,7.649,Sandro Pertini (caselle),"Via Cascina Aperta, 381, 10077 Malanghero TO, Italia"
2,126,LIRZ,PEG,43.096,12.513,Sant Egidio,"Via dell'Aeroporto, 06081 Assisi PG, Italia"
2,127,LICZ,NSY,37.401,14.922,Sigonella Air Base,"Strada Provinciale 104, 96016 Lentini SR, Italia"
2,128,LIQL,LCV,43.833,10.583,Tassignano,"Via dei Baccione, 130, 55012 Capannori LU, Italia"
2,129,LICA,SUF,38.906,16.242,Terme / Santa Eufemia,"Via Aeroporto, 1, Aeroporto Internazionale di Lamezia Terme ""Sant'Eufemia"" (SUF), 88040 Lamezia Terme CZ, Italia"
2,130,LICR,REG,38.071,15.651,Tito Menninti,"Via Ravagnese Salita Aeroporto, 89131 Reggio Calabria RC, Italia"
2,131,LIPX,NULL,45.396,10.888,Valeria Catulla / Villafranca Air Base,"Vigili Del Fuoco, Aeroporto di Verona, Via Aeroporto, 1, 37069 Villafranca di Verona VR, Italia"
2,132,LILN,QVN,45.742,8.888,Venegono,"Via Armando Diaz, 8, 21040 Venegono Inferiore VA, Italia"
2,133,LIRB,NULL,42.08,12.22,Vigna Di Valle Air Base,"Strada Provinciale 1f, Bracciano RM, Italia"
2,134,LIRV,NULL,42.43,12.064,Viterbo Air Base,"Via Valore, 01100 Viterbo VT, Italia"
2,135,LILH,NULL,44.952,9.017,VOGHERA,"Strada Statale 461, 27055 Rivanazzano PV, Italia"
20,136,LILA,QAL,44.907,8.612,Airport of Alessandria,"Viale Brigata Ravenna, 5, 15121 Alessandria AL, Italia"
